Timestamp,Bitcoin_USD,Ethereum_USD,Cardano_USD,Solana_USD,Duration_Sec,Status,Polygon_USD,Dogecoin_USD,Ripple_USD
2026-09-08 17:03:09,78391,2474.41,0.217538,102.92,4.2,SUCCESS,,,
2026-09-08 17:04:06,78443,2475.61,0.217663,103.0,1.62,SUCCESS,0.0,0.089635,1.39
